Linear Support Vector Machine_accuracies,Linear Support Vector Machine_precisions,Linear Support Vector Machine_recalls,Linear Support Vector Machine_f1_scores
0.8852672649844474,0.9216999771052564,0.8423185710411097,0.8802231795802021
0.8849278993460908,0.9195738529173608,0.8430957952098508,0.8796757232454442
0.884960866293817,0.920829762137117,0.8421994210007528,0.8797611519190544
0.8865743075001745,0.9227754187858709,0.8437481818781247,0.8814941182668034
0.8864055942971059,0.9227087515989394,0.8437920015493366,0.8814876109972505
0.8853370773443379,0.9209929596005062,0.8425804346305951,0.8800434966079138
0.8852284803400637,0.9215080765576218,0.8422766749379652,0.8801127892655733
0.8863008757572702,0.9224330309792708,0.8434734706386676,0.8811879783657597
0.8857365591814889,0.9220841015880569,0.8424758562866813,0.8804842131738762
0.8856066306228039,0.9218335241487512,0.84278021794837,0.8805361081127059
0.8854825197607763,0.9214461881980379,0.8426017219561048,0.8802619706600971
0.8853894366142557,0.9217951226151085,0.8418611696983115,0.8800167283490703
0.8849550485971595,0.92113004644668,0.8413515005871693,0.8794351896825381
0.8845070859545289,0.9200402195955979,0.8419485339793763,0.8792638574098777
0.8863978373682292,0.9219862073654198,0.8436221831697797,0.8810651572337259
0.8857074706982012,0.9222013317997971,0.8425489344541985,0.8805775687564967
0.8848231808062552,0.9211956175417281,0.8415008964398532,0.8795466852167705
0.8850985517813788,0.9208582931920701,0.84202587547428,0.8796794755941296
0.88651419130138,0.9227442125011672,0.8435468913093247,0.8813700190753425
0.8845284175089398,0.9207851801495581,0.8412333037027836,0.8792134318639612
