Decision Tree Classifier_accuracies,Decision Tree Classifier_precisions,Decision Tree Classifier_recalls,Decision Tree Classifier_f1_scores
0.9983826803292041,0.9975447170818093,0.9992292497772958,0.9983862728708089
0.998576603551122,0.9978466504745129,0.999304481625104,0.9985750339739856
0.9985416973711768,0.9978612988242965,0.9992187591096185,0.998539567618796
0.9983361387559437,0.9974544485346662,0.9992299447030644,0.9983414072135255
0.9985339404423,0.99790018518662,0.9991698669459638,0.9985346224520651
0.9983148072015328,0.9974320739004977,0.9992007077228706,0.9983156074764543
0.9985300619778618,0.9978304237465748,0.9992265657185943,0.9985280067113572
0.9984156472769301,0.9976206346007781,0.999212081927954,0.9984157240839027
0.9983555310781356,0.9975588053234293,0.9991591298350034,0.9983583262671669
0.9984447357602179,0.9976471044266998,0.9992429183749534,0.9984443737537533
0.9984641280824096,0.9976973263400282,0.9992312620115311,0.9984637050313661
0.9985067911912315,0.9978282536444618,0.9991844881886706,0.9985059103856692
0.9984117688124917,0.997500155269859,0.999319455408774,0.9984089765581442
0.9984718850112864,0.9977561705310396,0.9991888881558266,0.9984720153884339
0.9984350395991219,0.997670262705984,0.9992002298368624,0.9984346601544392
0.9983438956848205,0.9975927115665952,0.9991007473099941,0.9983461599538319
0.9984059511158342,0.9976299096112587,0.9991854656033761,0.9984070817039188
0.9986347805176974,0.9979955180248292,0.9992740457778192,0.99863437268435
0.9983594095425739,0.9975646526730836,0.9991636853598476,0.9983635287427026
0.998446674992437,0.9977256172217659,0.9991696382494112,0.9984471056258979
