Logistic Regression_accuracies,Logistic Regression_precisions,Logistic Regression_recalls,Logistic Regression_f1_scores
0.8996873957662682,0.928379171052139,0.8660628005262484,0.8961389418733059
0.9000539106556932,0.9286683086754647,0.8664855107626016,0.896499926701087
0.9002672261998029,0.9289381743377904,0.8665175068559132,0.8966427846498588
0.8995148040987612,0.9285523860303919,0.8654188844500867,0.8958747370092095
0.8996156441741585,0.9278907440549103,0.8665991887133428,0.896198247010674
0.8992879139291172,0.9276565997852917,0.8658267569750824,0.8956758950129968
0.8994120247911447,0.9283948770994047,0.8658254526013196,0.896019180421857
0.9003680662752003,0.9283770703600464,0.8674916735891683,0.896902272175433
0.8994352955777748,0.9282466964754078,0.8655866390254129,0.8958222843643026
0.9001411761055563,0.9282621420891161,0.8672903793864498,0.8967410485112937
0.899997672921337,0.9277498441720341,0.867229378039496,0.8964693411283814
0.89958849492309,0.9282630687187514,0.8658504384023361,0.8959711654950305
0.8997785396805696,0.9277124937218,0.8670644465480052,0.8963637785580646
0.8993713009145419,0.9275072095592343,0.8670622181309033,0.8962667546253261
0.9000985129967344,0.9286300926655661,0.867111307352064,0.8968169400001602
0.8991327753515828,0.9276234824546815,0.8657214474735951,0.895604108879692
0.8992122838725691,0.9275061896611887,0.8660873950231773,0.8957451972743266
0.900364187810762,0.9288499510511556,0.8674106987212514,0.8970795915955377
0.8993887540045146,0.9274180109318757,0.8659509083129109,0.8956310777265029
0.8999084682392547,0.9282428091115756,0.8667127152220226,0.89642315317991
