Logistic Regression_accuracies,Logistic Regression_precisions,Logistic Regression_recalls,Logistic Regression_f1_scores
0.8997145450173367,0.9280231084142059,0.8665181637903936,0.8962166457952028
0.8995380748853914,0.9275773431715899,0.8663846186718881,0.8959373273740773
0.9004010332229264,0.9295859738593136,0.8662106076430005,0.8967800023312927
0.9009091120643515,0.9279526086052796,0.8686037371685618,0.8972978839722151
0.8993732401467611,0.9280326078802377,0.8654390274236676,0.8956435348867142
0.9001722038210631,0.928255518003922,0.86647738337267,0.8963031899892835
0.8990338745084047,0.927669636623558,0.865600049634142,0.895560650647217
0.8990590845272539,0.9277004316702189,0.8656669548462633,0.8956108087294489
0.8997087273206792,0.9283681945618983,0.865868347230101,0.8960297213024782
0.8998192635571725,0.9290126797265907,0.8657498642253084,0.8962663100444573
0.8996563680507613,0.92770306840418,0.8663356712959362,0.8959697945692952
0.8997959927705423,0.9287297435534911,0.8660852435113409,0.8963142517738466
0.8992665823747062,0.9268374873631791,0.8663812212707376,0.8955902482558175
0.8999356174903232,0.9296239837398373,0.865441136555746,0.8963851260446829
0.8994081463267063,0.9277538124281213,0.8663536582056163,0.896003079489318
0.8998056889316381,0.9275965130759651,0.8671817698490005,0.8963723191524782
0.8997669042872546,0.9285157860972368,0.8658728925491415,0.8961008939178609
0.9001198445511454,0.9287551579271055,0.8667514658889958,0.896682734452261
0.9001954746076933,0.9281603335844094,0.8670380463304553,0.8965586548163156
0.8995051079376654,0.9273429083633853,0.8664842617458793,0.895881218355702
